,R_fighter,B_fighter,weight_class,rounds,title_bout,prediction
0,Alexander Hernandez,Casey Kenney,Welterweight,5,0,[0.45204001 0.54795999]
1,Alexander Hernandez,Matt Schnell,Welterweight,5,0,[0.46806495 0.53193505]
2,Alexander Hernandez,Tim Elliott,Welterweight,5,0,[0.37988519 0.62011481]
3,Alexander Hernandez,Santiago Ponzinibbio,Welterweight,5,0,[0.56173248 0.43826752]
4,Alexander Hernandez,Roxanne Modafferi,Welterweight,5,0,[0.52941389 0.47058611]
5,Alexander Hernandez,Dhiego Lima,Welterweight,5,0,[0.55178357 0.44821643]
6,Alexander Hernandez,Ricky Simon,Welterweight,5,0,[0.29807456 0.70192544]
7,Alexander Hernandez,Sara McMann,Welterweight,5,0,[0.3838926 0.6161074]
8,Alexander Hernandez,Joanne Calderwood,Welterweight,5,0,[0.47598224 0.52401776]
9,Alexander Hernandez,Alex Caceres,Welterweight,5,0,[0.48765153 0.51234847]
10,Alexander Hernandez,Petr Yan,Welterweight,5,0,[0.38770124 0.61229876]
11,Alexander Hernandez,Matt Brown,Welterweight,5,0,[0.53246219 0.46753781]
12,Alexander Hernandez,Dan Ige,Welterweight,5,0,[0.43193829 0.56806171]
13,Alexander Hernandez,Kamaru Usman,Welterweight,5,0,[0.36460515 0.63539485]
14,Alexander Hernandez,Sarah Moras,Welterweight,5,0,[0.43929394 0.56070606]
15,Alexander Hernandez,Leonardo Santos,Welterweight,5,0,[0.50708445 0.49291555]
16,Alexander Hernandez,Thiago Santos,Welterweight,5,0,[0.52022404 0.47977596]
17,Alexander Hernandez,Andrew Sanchez,Welterweight,5,0,[0.49578663 0.50421337]
18,Alexander Hernandez,Curtis Blaydes,Welterweight,5,0,[0.44749655 0.55250345]
19,Alexander Hernandez,Angela Hill,Welterweight,5,0,[0.45592861 0.54407139]
20,Alexander Hernandez,Kai Kara-France,Welterweight,5,0,[0.46296065 0.53703935]
21,Alexander Hernandez,Nik Lentz,Welterweight,5,0,[0.52332984 0.47667016]
22,Alexander Hernandez,Conor McGregor,Welterweight,5,0,[0.37616969 0.62383031]
23,Alexander Hernandez,Alexander Volkov,Welterweight,5,0,[0.53871627 0.46128373]
24,Alexander Hernandez,Trevin Giles,Welterweight,5,0,[0.34970256 0.65029744]
25,Alexander Hernandez,Nikita Krylov,Welterweight,5,0,[0.45215643 0.54784357]
26,Alexander Hernandez,Davey Grant,Welterweight,5,0,[0.56135341 0.43864659]
27,Alexander Hernandez,Dominick Cruz,Welterweight,5,0,[0.65522573 0.34477427]
28,Alexander Hernandez,Gilbert Burns,Welterweight,5,0,[0.45246186 0.54753814]
29,Alexander Hernandez,Brad Tavares,Welterweight,5,0,[0.5747712 0.4252288]
30,Alexander Hernandez,Ketlen Vieira,Welterweight,5,0,[0.50544024 0.49455976]
31,Alexander Hernandez,Amanda Nunes,Welterweight,5,0,[0.31209622 0.68790378]
32,Alexander Hernandez,Derrick Lewis,Welterweight,5,0,[0.37602802 0.62397198]
33,Alexander Hernandez,Kelvin Gastelum,Welterweight,5,0,[0.49914682 0.50085318]
34,Alexander Hernandez,Aleksei Oleinik,Welterweight,5,0,[0.56383089 0.43616911]
35,Alexander Hernandez,Islam Makhachev,Welterweight,5,0,[0.3007678 0.6992322]
36,Alexander Hernandez,Joseph Benavidez,Welterweight,5,0,[0.57069627 0.42930373]
37,Alexander Hernandez,Diego Ferreira,Welterweight,5,0,[0.41879506 0.58120494]
38,Alexander Hernandez,Charles Rosa,Welterweight,5,0,[0.65231247 0.34768753]
39,Alexander Hernandez,Jake Matthews,Welterweight,5,0,[0.29525269 0.70474731]
40,Alexander Hernandez,Khalil Rountree Jr.,Welterweight,5,0,[0.504745 0.495255]
41,Alexander Hernandez,Misha Cirkunov,Welterweight,5,0,[0.5927837 0.4072163]
42,Alexander Hernandez,Aljamain Sterling,Welterweight,5,0,[0.44636475 0.55363525]
43,Alexander Hernandez,Eddie Wineland,Welterweight,5,0,[0.64064981 0.35935019]
44,Alexander Hernandez,Belal Muhammad,Welterweight,5,0,[0.36856997 0.63143003]
45,Alexander Hernandez,Julianna Pena,Welterweight,5,0,[0.32953325 0.67046675]
46,Alexander Hernandez,Tom Breese,Welterweight,5,0,[0.3636006 0.6363994]
47,Alexander Hernandez,Jairzinho Rozenstruik,Welterweight,5,0,[0.4618412 0.5381588]
48,Alexander Hernandez,Neil Magny,Welterweight,5,0,[0.48513908 0.51486092]
49,Alexander Hernandez,Jimmie Rivera,Welterweight,5,0,[0.47320948 0.52679052]
50,Alexander Hernandez,Marion Reneau,Welterweight,5,0,[0.54215119 0.45784881]
51,Alexander Hernandez,Warlley Alves,Welterweight,5,0,[0.42948256 0.57051744]
52,Alexander Hernandez,Max Holloway,Welterweight,5,0,[0.37686771 0.62313229]
53,Alexander Hernandez,Jessica Eye,Welterweight,5,0,[0.64203941 0.35796059]
54,Alexander Hernandez,Dustin Poirier,Welterweight,5,0,[0.32471894 0.67528106]
55,Alexander Hernandez,Kevin Holland,Welterweight,5,0,[0.24772218 0.75227782]
56,Alexander Hernandez,Michael Johnson,Welterweight,5,0,[0.65104255 0.34895745]
57,Alexander Hernandez,Israel Adesanya,Welterweight,5,0,[0.33881333 0.66118667]
58,Alexander Hernandez,Alessio Di Chirico,Welterweight,5,0,[0.59729751 0.40270249]
59,Alexander Hernandez,Carlos Condit,Welterweight,5,0,[0.51978365 0.48021635]
60,Alexander Hernandez,Aleksandar Rakic,Welterweight,5,0,[0.46067864 0.53932136]
61,Alexander Hernandez,Omari Akhmedov,Welterweight,5,0,[0.46157979 0.53842021]
62,Alexander Hernandez,JJ Aldrich,Welterweight,5,0,[0.4412217 0.5587783]
63,Alexander Hernandez,Pedro Munhoz,Welterweight,5,0,[0.34450102 0.65549898]
64,Alexander Hernandez,Michael Chiesa,Welterweight,5,0,[0.35218098 0.64781902]
65,Alexander Hernandez,Ashley Yoder,Welterweight,5,0,[0.43683442 0.56316558]
66,Alexander Hernandez,Jan Blachowicz,Welterweight,5,0,[0.48108416 0.51891584]
67,Alexander Hernandez,Max Griffin,Welterweight,5,0,[0.57426599 0.42573401]
68,Alexander Hernandez,Frankie Edgar,Welterweight,5,0,[0.54463187 0.45536813]
69,Alexander Hernandez,Drew Dober,Welterweight,5,0,[0.4075545 0.5924455]
70,Alexander Hernandez,Calvin Kattar,Welterweight,5,0,[0.34536324 0.65463676]
71,Alexander Hernandez,Alistair Overeem,Welterweight,5,0,[0.43889454 0.56110546]
72,Alexander Hernandez,Derek Brunson,Welterweight,5,0,[0.41025022 0.58974978]
73,Alexander Hernandez,Li Jingliang,Welterweight,5,0,[0.47143059 0.52856941]
74,Alexander Hernandez,Jared Gordon,Welterweight,5,0,[0.36741293 0.63258707]
75,Alexander Hernandez,Beneil Dariush,Welterweight,5,0,[0.37854011 0.62145989]
76,Alexander Hernandez,Cortney Casey,Welterweight,5,0,[0.53557507 0.46442493]
77,Alexander Hernandez,Andre Ewell,Welterweight,5,0,[0.60528118 0.39471882]
78,Alexander Hernandez,Jonathan Martinez,Welterweight,5,0,[0.40976988 0.59023012]
79,Alexander Hernandez,Rani Yahya,Welterweight,5,0,[0.5066971 0.4933029]
80,Alexander Hernandez,Alexa Grasso,Welterweight,5,0,[0.39262533 0.60737467]
81,Alexander Hernandez,Cory Sandhagen,Welterweight,5,0,[0.38731177 0.61268823]
82,Alexander Hernandez,Brian Kelleher,Welterweight,5,0,[0.6221923 0.3778077]
83,Alexander Hernandez,Clay Guida,Welterweight,5,0,[0.59818523 0.40181477]
84,Alexander Hernandez,Alexis Davis,Welterweight,5,0,[0.43218886 0.56781114]
85,Alexander Hernandez,Andrei Arlovski,Welterweight,5,0,[0.67052621 0.32947379]
86,Alexander Hernandez,Douglas Silva de Andrade,Welterweight,5,0,[0.5746083 0.4253917]
87,Alexander Hernandez,Antonio Carlos Junior,Welterweight,5,0,[0.45357551 0.54642449]
88,Casey Kenney,Matt Schnell,Welterweight,5,0,[0.45996312 0.54003688]
89,Casey Kenney,Tim Elliott,Welterweight,5,0,[0.35231212 0.64768788]
90,Casey Kenney,Santiago Ponzinibbio,Welterweight,5,0,[0.41266151 0.58733849]
91,Casey Kenney,Roxanne Modafferi,Welterweight,5,0,[0.41628326 0.58371674]
92,Casey Kenney,Dhiego Lima,Welterweight,5,0,[0.46794464 0.53205536]
93,Casey Kenney,Ricky Simon,Welterweight,5,0,[0.33100063 0.66899937]
94,Casey Kenney,Sara McMann,Welterweight,5,0,[0.33966354 0.66033646]
95,Casey Kenney,Joanne Calderwood,Welterweight,5,0,[0.38586281 0.61413719]
96,Casey Kenney,Alex Caceres,Welterweight,5,0,[0.47214098 0.52785902]
97,Casey Kenney,Petr Yan,Welterweight,5,0,[0.35765349 0.64234651]
98,Casey Kenney,Matt Brown,Welterweight,5,0,[0.43801961 0.56198039]
99,Casey Kenney,Dan Ige,Welterweight,5,0,[0.43223864 0.56776136]
100,Casey Kenney,Kamaru Usman,Welterweight,5,0,[0.30707465 0.69292535]
101,Casey Kenney,Sarah Moras,Welterweight,5,0,[0.40350848 0.59649152]
102,Casey Kenney,Leonardo Santos,Welterweight,5,0,[0.41188199 0.58811801]
103,Casey Kenney,Thiago Santos,Welterweight,5,0,[0.50534515 0.49465485]
104,Casey Kenney,Andrew Sanchez,Welterweight,5,0,[0.42138901 0.57861099]
105,Casey Kenney,Curtis Blaydes,Welterweight,5,0,[0.26569709 0.73430291]
106,Casey Kenney,Angela Hill,Welterweight,5,0,[0.4385475 0.5614525]
107,Casey Kenney,Kai Kara-France,Welterweight,5,0,[0.45955686 0.54044314]
108,Casey Kenney,Nik Lentz,Welterweight,5,0,[0.46129665 0.53870335]
109,Casey Kenney,Conor McGregor,Welterweight,5,0,[0.39313377 0.60686623]
110,Casey Kenney,Alexander Volkov,Welterweight,5,0,[0.41269384 0.58730616]
111,Casey Kenney,Trevin Giles,Welterweight,5,0,[0.30285358 0.69714642]
112,Casey Kenney,Nikita Krylov,Welterweight,5,0,[0.36570837 0.63429163]
113,Casey Kenney,Davey Grant,Welterweight,5,0,[0.38984124 0.61015876]
114,Casey Kenney,Dominick Cruz,Welterweight,5,0,[0.31324096 0.68675904]
115,Casey Kenney,Gilbert Burns,Welterweight,5,0,[0.31695725 0.68304275]
116,Casey Kenney,Brad Tavares,Welterweight,5,0,[0.47882143 0.52117857]
117,Casey Kenney,Ketlen Vieira,Welterweight,5,0,[0.48577761 0.51422239]
118,Casey Kenney,Amanda Nunes,Welterweight,5,0,[0.24811983 0.75188017]
119,Casey Kenney,Derrick Lewis,Welterweight,5,0,[0.33006272 0.66993728]
120,Casey Kenney,Kelvin Gastelum,Welterweight,5,0,[0.40056384 0.59943616]
121,Casey Kenney,Aleksei Oleinik,Welterweight,5,0,[0.44509855 0.55490145]
122,Casey Kenney,Islam Makhachev,Welterweight,5,0,[0.34004636 0.65995364]
123,Casey Kenney,Joseph Benavidez,Welterweight,5,0,[0.48444884 0.51555116]
124,Casey Kenney,Diego Ferreira,Welterweight,5,0,[0.3423469 0.6576531]
125,Casey Kenney,Charles Rosa,Welterweight,5,0,[0.50331849 0.49668151]
126,Casey Kenney,Jake Matthews,Welterweight,5,0,[0.34775588 0.65224412]
127,Casey Kenney,Khalil Rountree Jr.,Welterweight,5,0,[0.36131783 0.63868217]
128,Casey Kenney,Misha Cirkunov,Welterweight,5,0,[0.37772695 0.62227305]
129,Casey Kenney,Aljamain Sterling,Welterweight,5,0,[0.412271 0.587729]
130,Casey Kenney,Eddie Wineland,Welterweight,5,0,[0.56313286 0.43686714]
